country,ratings,number_of_customers,years_of_experiance,number_of_reviews,type_of_consultant,first_name,last_name,lat,long
POR,3.75,90,0,90,Doctor,Lennox,LANCASTER,1.127989368,2.587035916
HAN,2,18,6,18,Lawyer,Virginia,MCGOWAN,-26.6904778,-20.34712479
BAV,2.75,86,5,86,Career,Malakai,FELIX,-25.36292661,-6.537474559
GMY,3.5,65,6,65,Lawyer,Hanna,SALGADO,8.861151429,-32.94256625
BAD,3.5,98,2,98,Career,Atlas,SLATER,24.37857136,-36.89932323
SAX,3.5,65,2,65,Lawyer,Rebekah,CARVER,-15.18619881,-49.92911327
WRT,2.75,16,7,16,Doctor,Jerry,GUTHRIE,-0.777454381,-1.547407243
HSE,3,42,8,42,Doctor,Alani,HOLMAN,25.9801669,0.577762559
HSG,2.5,91,5,91,Doctor,Edith,FULTON,-23.8018204,33.00771384
MEC,2.5,77,2,77,Education,Liana,SNIDER,28.92911545,-9.131761582
AUH,2.75,38,3,38,Doctor,Ryland,SEARS,13.95361213,1.941812597
ITA,3.75,10,6,10,Lawyer,Charleigh,WITT,-19.90898402,48.26342548
PAP,2.75,12,0,12,Lawyer,Gloria,NEWELL,26.35846457,36.98489762
SIC,3.5,13,10,13,Career,Ahmed,BYERS,13.46439858,-48.28267733
MOD,3.75,91,6,91,Doctor,Saul,LEHMAN,-13.87865192,-42.81115696
TUS,3.75,56,6,56,Career,Sterling,GORMAN,0.154606228,12.71779201
GRC,3.25,99,0,99,Lawyer,Cameron,COSTELLO,-18.78649516,34.96681105
RUS,2.75,7,4,7,Doctor,Colette,DONAHUE,-35.65915023,-25.56723476
SWD,3,61,4,61,Education,Kailey,DELANEY,2.136319749,44.51654195
DEN,3.25,46,24,46,Career,Dennis,ALBERT,-27.55599022,36.15803456
MOR,3.75,69,4,69,Lawyer,Lawrence,WORKMAN,-8.178368358,-39.51373543
TUN,3.5,57,6,57,Career,Carter,ROSAS,-3.242885009,17.99157758
TUR,3.75,27,5,27,Career,Helena,SPRINGER,-14.4964702,3.154852204
USA,3.5,42,5,42,Career,Matilda,JUSTICE,-31.28117812,-21.23241407
MEX,3.25,61,0,61,Lawyer,Zayne,KINNEY,-3.533563088,13.26541549
COL,3.5,75,3,75,Lawyer,Imani,ODELL,-2.688589714,-5.282417309
VEN,3.25,32,3,32,Lawyer,Bodhi,LAKE,-19.98232656,-24.60756659
PER,3.25,49,0,49,Lawyer,Bridget,DONNELLY,30.96868058,-48.34390729
BRA,3.5,4,2,4,Doctor,Cynthia,LAW,-5.118094035,-5.749552157
BOL,3.5,54,5,54,Education,Janiyah,DAILEY,-16.80948105,9.563517812
PAR,3.5,53,3,53,Education,Marissa,GUEVARA,6.522716878,-24.52001973
CHL,2.75,61,7,61,Career,Arjun,SHOEMAKER,-1.843983233,14.4338503
ARG,3.5,4,5,4,Doctor,Darius,BARLOW,-13.78943323,4.747415252
UKG,3.5,16,25,16,Career,Johanna,MARINO,34.71317679,-47.70430175
NTH,2.75,89,20,89,Lawyer,Sasha,WINTER,30.09336611,-22.25687973
BEL,3,24,1,24,Lawyer,Arlo,CRAFT,8.538937953,-34.24785374
FRN,3.5,45,6,45,Career,Eden,KATZ,-2.261169848,-26.51127262
SWZ,3,44,3,44,Education,Tony,PICKETT,8.081180492,-9.208105209
SPN,2.75,71,2,71,Career,Kaliyah,ESPINOSA,22.24420686,-14.74356838
POR,3,44,2,44,Doctor,Dustin,DALY,-6.735594392,20.02365502
HAN,3.25,29,5,29,Lawyer,Cecelia,MALONEY,-11.14112663,15.23671414
BAV,3.25,27,6,27,Doctor,Kellen,GOLDSTEIN,-20.88438859,48.47787021
GMY,3.5,7,0,7,Doctor,Adelina,CROWLEY,-40.32122132,-24.6057643
BAD,3.75,93,1,93,Education,Jessa,VOGEL,-2.543588213,5.656086104
SAX,3.5,23,6,23,Education,Hayley,KUHN,-1.403960044,18.96425628
WRT,3.5,41,5,41,Career,Julissa,PEARCE,-3.348860098,-8.619432092
HSE,3.5,6,12,6,Lawyer,Winter,HARTLEY,-4.081964051,-8.232922418
HSG,3.5,31,5,31,Career,Chris,CLEVELAND,1.802827697,-7.731634655
MEC,3.5,68,13,68,Career,Mohammed,PALACIOS,48.33359667,15.71919791
AUH,3,20,4,20,Lawyer,Nasir,MCFADDEN,-34.14543501,11.78827661
ITA,3.5,62,3,62,Doctor,Omari,BRITT,12.93116989,-7.900418253
PAP,3,7,6,7,Education,Crystal,WOOTEN,-16.8204567,1.646054073
SIC,3,72,6,72,Career,Kaylie,CORTES,-0.702941615,-3.996943003
MOD,3.25,48,6,48,Education,Bailee,DILLARD,36.98640176,0.24234158
PMA,3.5,79,3,79,Education,Kieran,CHILDERS,-22.39244449,33.59377816
TUS,2.25,16,1,16,Education,Nixon,ALFORD,3.608579046,3.183643992
GRC,2.5,90,2,90,Education,Rhys,DODD,3.53689645,20.60724828
RUS,2.75,14,5,14,Education,Charli,EMERSON,12.95369463,-3.582478988
SWD,3,33,4,33,Career,Henley,WILDER,5.086828323,10.37459514
DEN,3.25,38,6,38,Career,Anya,LANGE,5.990072201,0.86249337
MOR,3,34,0,34,Career,Maia,GOLDBERG,0.862720296,-34.28175134
TUN,3.25,28,6,28,Doctor,Skyla,QUINTERO,-1.652464831,3.779318188
TUR,3.75,12,0,12,Career,Armani,BEACH,5.389233809,31.30369916
USA,3.5,1,5,1,Education,Arturo,ENRIQUEZ,-4.471236918,2.646736951
MEX,2.5,87,7,87,Doctor,Liberty,QUINTANA,-34.73405228,-48.82223687
COL,2.75,10,1,10,Education,Bowen,HELMS,-15.65654288,1.043643705
VEN,3.5,64,5,64,Doctor,Frederick,MACKEY,15.34302649,1.509652735
PER,3,52,8,52,Doctor,Callen,FINCH,29.96203243,-20.75285024
BRA,3,59,4,59,Education,Leonidas,CRAMER,19.0533967,-31.91861309
BOL,2.75,100,0,100,Education,Remy,MINOR,6.989079077,-45.79588709
PAR,3.5,95,4,95,Education,Fernanda,FLANAGAN,10.5990854,28.79761986
CHL,2.75,33,6,33,Lawyer,Wade,FRANKS,40.52436338,-17.70996408
ARG,3,20,3,20,Lawyer,Monica,CORONA,1.936779141,-45.78743357
UKG,3.25,17,8,17,Education,Braylee,KENDALL,12.67975791,-9.341647599
NTH,3.75,65,1,65,Doctor,Dallas,MCCABE,-3.138871094,-22.4059153
BEL,2.75,28,5,28,Doctor,Mariam,HENDRICKSON,5.37899567,-21.44529192
FRN,3,28,0,28,Education,Luka,MOSER,-16.70842955,-32.8492179
SWZ,3.25,8,0,8,Lawyer,Marie,MCDERMOTT,-0.124800985,-13.52300173
SPN,3.5,65,3,65,Education,Jakob,CAMP,-6.30832917,13.69050679
POR,4,36,6,36,Education,Winston,MCLEOD,-39.28591396,24.45730846
HAN,4,18,6,18,Career,Justice,BERNAL,-34.38665968,7.439531539
BAV,3.75,48,1,48,Lawyer,Beatrice,KAPLAN,12.1887217,-32.33466532
GMY,3.25,91,2,91,Career,Hallie,MEDRANO,0,-9.95507293
BAD,3.25,48,1,48,Doctor,Alonzo,LUGO,-13.53212891,1.892827969
SAX,3.25,65,1,65,Education,Curtis,TRACY,-4.770609888,42.02637047
WRT,3.5,31,4,31,Career,Maryam,BACON,-10.18191269,-12.10384652
HSE,3,53,5,53,Lawyer,Aarav,CROWE,19.04314108,14.95673932
HSG,2.5,61,5,61,Education,Gustavo,RICHTER,10.94167671,-4.143909707
MEC,2.75,33,6,33,Education,Angelique,WELSH,-6.516536083,28.33815889
AUH,3,44,5,44,Lawyer,Anne,HOLLEY,-17.35265624,29.22670855
ITA,3,78,9,78,Doctor,Madalyn,RATLIFF,-39.12683162,6.329025985
PAP,3.5,69,6,69,Career,Alayah,MAYFIELD,-44.35693289,0.622447417
SIC,2.5,15,18,15,Career,Annika,TALLEY,4.465790611,6.885683356
MOD,2.5,6,18,6,Doctor,Greta,HAINES,-35.47612825,-35.76318564
PMA,2.75,6,14,6,Lawyer,Royce,DALE,-25.26545829,-4.312236594
TUS,3,50,17,50,Career,Asa,GIBBONS,21.53382708,-32.93370665
GRC,3.25,93,20,93,Education,Gannon,HICKEY,29.05600305,-29.37502093
RUS,3.5,97,0,97,Lawyer,Kyson,BYRNE,11.08089799,21.90147388
SWD,3.25,81,1,81,Doctor,Lilyana,KIRKLAND,29.00025133,-6.113847208
DEN,3.5,64,4,64,Doctor,Hank,FARRIS,-3.703634971,-8.421443216
MOR,3,45,5,45,Education,Izaiah,CORREA,43.66867014,-28.04843579
TUN,3.5,81,1,81,Education,Roy,TILLMAN,-22.97349233,12.65465412
TUR,3.5,50,1,50,Education,Kadence,SWEET,-22.49992958,7.661479551
USA,3.75,66,4,66,Lawyer,Raphael,KESSLER,-2.550038744,0.123043576
MEX,3.5,88,5,88,Career,Luciano,ENGLAND,-15.69067514,-38.89067891
COL,3.5,14,3,14,Career,Coraline,HEWITT,-33.88305431,-25.80768758
VEN,2,39,13,39,Career,Lainey,BLANCO,23.05850416,47.40607644
PER,2,84,3,84,Lawyer,Mabel,CONNOLLY,-21.46705029,0.900423747
BRA,3,7,6,7,Doctor,Hayes,PATE,-45.16195331,4.422106596
BOL,4,79,6,79,Education,Lillie,ELDER,-1.717230531,-1.029810383
PAR,4,34,17,34,Doctor,Case,BRUNO,-3.167441779,40.29713688
CHL,4,88,5,88,Education,Darren,HOLCOMB,-21.2229083,-12.6649292
ARG,2,67,6,67,Education,Mohammad,HYDE,16.07882565,0.926319964
UKG,3.5,36,6,36,Career,Otto,MCALLISTER,0.405815725,13.04498404
NTH,3.5,53,7,53,Doctor,Anika,CASH,-24.27983692,-17.5531815
BEL,3.75,90,5,90,Lawyer,Layton,CHRISTOPHER,-18.66384816,-7.944687217
FRN,3.75,70,5,70,Career,Azalea,WHITFIELD,38.44030642,-44.93203235
SWZ,3.25,19,6,19,Doctor,Isaias,MEEKS,4.589545347,3.422665551
SPN,3.5,58,6,58,Education,Dayana,HATCHER,-16.411671,5.248309193
POR,2.5,86,20,86,Career,Alberto,FINK,45.40243904,14.76019003
HAN,3.25,26,0,26,Education,Jamari,SUTHERLAND,-27.12309298,-26.23284325
BAV,1.5,63,12,63,Education,Colten,NOEL,-0.51408918,-40.01459507
GMY,2,98,4,98,Education,Dax,RITCHIE,23.21199733,41.72257321
BAD,2.5,44,5,44,Career,Marvin,ROSA,-8.268321335,-4.654538301
SAX,2.5,9,5,9,Doctor,Jaliyah,LEAL,1.884319458,-2.681107448
WRT,3.5,37,5,37,Career,Casey,JOYNER,-30.20078337,-6.492468663
HSE,2.75,26,5,26,Lawyer,Moshe,STARR,-24.97548265,37.27421341
HSG,2.75,36,2,36,Lawyer,Addisyn,MORIN,-18.83621497,3.678123263
MEC,3.5,88,5,88,Career,Johan,DELAROSA,8.598221204,0.68668985
AUH,3.75,42,6,42,Career,Sam,CONNOR,10.71322096,14.01752908
ITA,3.5,8,1,8,Education,Matthias,HILTON,-9.036198897,9.458503834
PAP,2.5,88,6,88,Doctor,Emilee,ALSTON,-33.70231953,-5.813595754
SIC,3.25,83,8,83,Lawyer,Mira,GILLIAM,-9.018698808,11.54826699
MOD,3,45,5,45,Doctor,Larry,WYNN,5.131511566,-11.4715537
PMA,2.75,24,7,24,Lawyer,Trey,WILLS,13.36011595,24.33040125
TUS,3,40,1,40,Education,Angie,JARAMILLO,23.59871853,23.39786978
GRC,2.75,44,5,44,Career,Lilith,ONEIL,0,3.62794795
RUS,3.25,79,1,79,Doctor,Mae,NIEVES,-4.882424434,-7.014545657
SWD,2.75,77,5,77,Education,Devon,BRITTON,-36.31777287,-2.994485587
DEN,2.75,43,6,43,Doctor,Trent,RANKIN,19.29482038,10.10219705
MOR,3.25,20,8,20,Doctor,Meredith,BELCHER,-12.17237657,5.587829437
TUN,3.5,3,1,3,Education,Mauricio,GUY,18.71261453,-29.90340408
TUR,3.25,58,3,58,Career,Guadalupe,CHAMBERLAIN,-17.94503623,7.546195181
USA,3.25,53,1,53,Lawyer,Emelia,TYSON,31.08520395,-3.039218005
MEX,3.5,89,0,89,Lawyer,Margot,PUCKETT,26.04315804,1.642991067
COL,3.5,76,6,76,Education,Mathias,DOWNING,7.438006583,20.64399355
VEN,3.5,5,1,5,Lawyer,Melina,SHARPE,31.93432947,43.87232342
ECU,3.5,87,0,87,Lawyer,Issac,BOGGS,19.91560074,23.08288426
PER,2.75,20,5,20,Doctor,Dorian,TRUONG,-28.22132641,3.299823969
BRA,2.75,53,1,53,Career,Aniya,PIERSON,-48.66021254,-0.277081671
BOL,2.75,99,6,99,Doctor,Gianni,GODFREY,-22.07032269,-5.750604909
PAR,3,12,5,12,Career,Alena,MOBLEY,-9.060186519,5.415531572
CHL,2.5,64,6,64,Lawyer,Ahmad,JOHN,-45.35390737,-35.59454962
ARG,3,19,4,19,Lawyer,Myra,KERN,-41.51670419,30.18553013
UKG,3.75,10,6,10,Education,Nikolas,DYE,-1.920060575,2.060356205
NTH,3.75,56,5,56,Doctor,Oakley,HOLLIS,-9.057930128,19.40379029
BEL,2.5,61,1,61,Lawyer,Elianna,BRAVO,14.84060719,34.59696977
FRN,3.25,63,0,63,Doctor,Caitlyn,MAGANA,-30.37975351,-4.929934972
SWZ,2.75,72,2,72,Career,Uriel,RUTHERFORD,47.87646054,-20.67750306
SPN,3,7,0,7,Education,Jaelynn,NG,-44.13492579,-48.80018291
POR,3.5,79,20,79,Lawyer,Lewis,TUTTLE,-7.179724503,8.632303656
HAN,2.25,98,7,98,Lawyer,Randy,LIM,27.64544527,-31.78753719
BAV,2.5,14,15,14,Doctor,Cullen,ROMANO,-39.539971,-8.47344443
GMY,2.5,92,6,92,Career,Braydon,ARTHUR,30.06926699,-16.13265913
BAD,3.5,84,4,84,Doctor,Ezequiel,TREJO,-2.662712074,25.77129103
SAX,2.5,70,5,70,Career,Jaelyn,KNOWLES,-45.55808333,7.98882761
WRT,3.75,86,5,86,Doctor,Reece,LYON,33.59414645,-49.8080128
HSE,1,49,1,49,Career,Jimmy,SHIRLEY,-23.48360799,47.50817371
HSG,2,93,8,93,Lawyer,Demi,QUINONES,-26.13212773,31.98803007
MEC,2.75,38,22,38,Lawyer,Crosby,CHILDS,-37.63081594,5.405804865
AUH,3,19,3,19,Education,Mikaela,DOLAN,5.817720035,-20.64751401
ITA,2.25,84,5,84,Doctor,Tiana,HEAD,-10.2446294,-13.84483557
PAP,2.75,44,2,44,Career,Blair,REYNA,-41.55405787,-36.92310441
SIC,3,20,5,20,Career,Shiloh,SAENZ,13.0156566,34.42154394
MOD,3,18,2,18,Lawyer,Soren,HASTINGS,38.42023573,-23.74209641
PMA,2.75,33,12,33,Education,Ariyah,KENNEY,-35.33241709,-11.97726958
TUS,3.5,45,5,45,Lawyer,Saylor,CANO,-2.947749355,23.03863879
GRC,3,88,6,88,Education,Uriah,FOREMAN,-10.83078177,7.069859822
RUS,3,79,10,79,Lawyer,Roger,DENTON,-3.04541311,0.688605522
SWD,3.25,84,15,84,Lawyer,Nathanael,VILLALOBOS,-30.41043063,-16.47796466
DEN,3,67,1,67,Lawyer,Caitlin,PRYOR,-18.14445824,-8.281796701
MOR,3,5,9,5,Career,Emmitt,SARGENT,26.96005076,6.543393275
TUN,3,8,25,8,Lawyer,Gary,DOHERTY,1.548554536,-3.194481328
TUR,2.75,99,2,99,Education,Rayan,HOPPER,12.72576364,7.228629053
USA,3.25,64,0,64,Education,Ricky,PHAN,-26.23066001,-25.69378444
MEX,3.75,38,6,38,Career,Lindsey,WOMACK,-16.31546398,19.23880198
COL,2.75,76,6,76,Education,Oakley,LOCKHART,39.82586286,-31.28676925
VEN,3,71,6,71,Education,Mitchell,VENTURA,24.6931048,25.60019117
ECU,3.5,72,2,72,Lawyer,Alia,DWYER,1.522180463,25.53594112
PER,3.75,33,12,33,Lawyer,Everleigh,MULLER,-25.97424544,3.210459224
BRA,3.5,13,12,13,Lawyer,Roland,GALINDO,25.07612215,-14.9975834
BOL,2.5,27,3,27,Doctor,Alfredo,GRACE,8.110172079,-12.20975423
PAR,3.75,73,0,73,Career,Cannon,SORENSEN,2.682180522,2.900653408
CHL,3.75,51,1,51,Lawyer,Jalen,COURTNEY,-7.477750396,-10.21576023
ARG,3.75,34,1,34,Career,Ivanna,PARRA,-29.61135,-6.215933796
UKG,4,22,3,22,Lawyer,Miah,RODRIGUES,-32.5053449,-4.033117252
NTH,2.75,70,5,70,Doctor,Emmy,NICHOLAS,37.33569441,44.34902771
BEL,3.5,27,0,27,Career,Jessie,AHMED,-20.60161156,41.14118407
FRN,2.75,96,5,96,Education,Tatum,MCGINNIS,8.094744297,-26.72802944
SWZ,3,87,6,87,Doctor,Kobe,LANGLEY,1.40421231,-41.40250978
SPN,3.25,8,4,8,Doctor,Yusuf,MADISON,1.28312751,-16.73288493
POR,3.5,27,0,27,Lawyer,Anahi,LOCKE,16.43906035,9.66898982
HAN,2.75,70,6,70,Lawyer,Kaylin,JAMISON,-27.51184091,36.27117458
BAV,3,36,3,36,Doctor,Ansley,NAVA,-18.27870415,22.65356176
GMY,3.5,13,6,13,Education,Quinton,GUSTAFSON,-6.601721117,-8.81913237
BAD,3,97,0,97,Doctor,Annabel,SYKES,10.2463055,-26.56105483
SAX,3,44,21,44,Career,Remington,DEMPSEY,-32.24702657,8.608992172
WRT,2.75,22,6,22,Doctor,Korbin,HAMM,-11.14806297,0.859096061
HSE,3,67,2,67,Education,Kora,RODRIQUEZ,11.48434858,37.36448642
HSG,2,1,5,1,Doctor,Maisie,MCGILL,28.75117192,-0.770091585
MEC,2.75,7,3,7,Education,Brayan,XIONG,29.15661558,22.73021981
AUH,2.75,44,11,44,Doctor,Joe,ESQUIVEL,-23.82457751,-26.07929304
ITA,3,75,6,75,Lawyer,Nathalie,SIMMS,1.340013635,-8.841284147
PAP,2.75,31,5,31,Career,Byron,KENDRICK,15.41556666,-0.96263382
SIC,3.75,44,7,44,Lawyer,Ariel,BOYCE,-3.610362892,13.49484112
MOD,3,57,20,57,Doctor,Quincy,VIGIL,-2.996951393,20.20901802
PMA,3.5,95,5,95,Doctor,Emory,DOWNEY,-21.39322356,-6.867558779
TUS,2.75,80,5,80,Education,Carl,MCKENNA,-37.71383002,-3.05022745
GRC,2.75,99,7,99,Lawyer,Karsyn,SIERRA,-5.630510663,-8.461574702
RUS,2.75,2,0,2,Education,Pearl,WEBBER,36.03251833,-9.892948531
SWD,3,70,1,70,Lawyer,Kristopher,KIRKPATRICK,-10.08939279,-18.41568328
DEN,3,24,0,24,Doctor,Irene,DICKINSON,-38.01235453,13.58832578
MOR,2.75,74,6,74,Career,Alvin,COUCH,3.764476256,27.83990354
TUN,3.25,9,2,9,Lawyer,Duke,BURKS,-6.90032727,-2.523029259
IRN,3.75,59,6,59,Lawyer,Lance,SHEEHAN,-12.92135614,49.5761996
TUR,3,54,17,54,Career,Kimber,SLAUGHTER,-11.11788196,6.645646042
EGY,3,71,7,71,Lawyer,Rosa,PIKE,45.31379115,24.64964567
USA,3.25,85,8,85,Doctor,Lylah,WHITLEY,39.35177047,-14.36850448
MEX,3,39,0,39,Doctor,Magnolia,MAGEE,0.22230536,11.37466326
COL,3,35,18,35,Career,London,CHENG,-5.0490935,-0.338423867
VEN,3,50,6,50,Lawyer,Samara,SINCLAIR,0,-18.68420753
ECU,3,59,5,59,Doctor,Jasiah,CASSIDY,14.9167245,2.214432411
PER,4,7,6,7,Education,Elliot,RUTLEDGE,-6.927525213,11.86038486
BRA,3.25,41,6,41,Education,Renata,BURRIS,0.962704302,2.275847494
BOL,3.5,12,4,12,Career,Boston,BOWLING,3.371867257,-2.305495388
PAR,3.75,55,7,55,Career,Galilea,CRABTREE,-8.643437032,11.23450173
CHL,4,39,1,39,Doctor,Kensley,MCNAMARA,-26.08394176,-4.429349488
ARG,2.75,79,1,79,Education,Kiera,AVALOS,21.70149216,-32.22766849
UKG,4,3,5,3,Career,Whitney,VU,26.26882607,-3.169096484
NTH,3.5,49,6,49,Education,Santino,HERRON,-13.86452328,-21.72519619
BEL,2.5,66,1,66,Career,Amelie,BROUSSARD,-36.05296352,12.38993234
FRN,2.75,24,8,24,Lawyer,Siena,ABRAHAM,-34.72838537,-33.0955612
SWZ,3,17,7,17,Education,Bria,GARLAND,-16.29904301,17.23138393
SPN,2,56,4,56,Doctor,Laney,CORBETT,0.835430656,28.61394339
POR,3.5,11,6,11,Doctor,Perla,CORBIN,-1.741252888,-7.028433899
HAN,2.75,20,3,20,Lawyer,Lennon,STINSON,-40.03040934,-26.30829737
BAV,3,92,6,92,Doctor,Tatiana,CHIN,38.54517215,37.47025224
GMY,3.25,62,6,62,Lawyer,Zelda,BURT,-1.714318803,-23.33520171
BAD,3.25,68,4,68,Career,Deandre,HUTCHINS,11.31850473,21.88651604
SAX,3.5,4,9,4,Education,Jaycee,WOODRUFF,-19.408348,15.79384051
WRT,3.75,71,4,71,Lawyer,Kori,LAU,0,34.71061647
HSE,2.75,54,7,54,Doctor,Montserrat,BRANDON,-11.48261152,30.75044483
HSG,3.75,29,4,29,Education,Lorelai,SINGER,-49.41908899,-3.42408992
MEC,2.75,15,5,15,Education,Madden,HATCH,47.70206118,43.72915689
AUH,3.5,45,5,45,Lawyer,Talon,ROSSI,-17.98136965,-1.064466349
ITA,3.75,33,1,33,Education,Adele,SHAFER,47.23579234,3.994102174
PAP,3,1,7,1,Lawyer,Elyse,OTT,-18.05220592,0.60973558
SIC,3.5,4,0,4,Lawyer,Katelynn,GOSS,-20.4442693,-30.72527388
MOD,3.25,73,6,73,Career,Kynlee,GREGG,9.565360631,5.110979891
PMA,3.5,46,5,46,Doctor,Sylas,DEWITT,13.45947896,13.94875395
TUS,3,45,2,45,Education,Marina,TANG,16.82903054,-11.33813238
GRC,3.5,91,1,91,Doctor,Orlando,POLK,36.09561743,27.65729451
RUS,2.5,100,6,100,Education,Jayden,WORLEY,-11.44614942,-9.610714747
SWD,2.75,48,13,48,Doctor,Kailyn,COVINGTON,-19.34546752,-7.351295118
DEN,3.75,72,0,72,Education,Hamza,SALDANA,-37.98546442,-19.41079884
MOR,4,49,3,49,Education,Avah,HELLER,-22.75078657,-26.08282208
TUN,3.5,17,5,17,Doctor,Kenley,EMERY,-5.456219064,-0.030476377
IRN,3.5,55,6,55,Education,Bo,SWARTZ,2.990828078,-15.64493483
TUR,4,15,24,15,Doctor,Aldo,CHO,24.06916347,1.15254101
EGY,4,62,5,62,Education,Douglas,MCCRAY,-13.21942185,-10.26765784
USA,2.25,45,0,45,Education,Tristen,ELMORE,-49.72330737,6.508536381
MEX,2.75,46,11,46,Doctor,Wilson,ROSENBERG,-42.23749096,-21.05072477
COL,3,98,6,98,Doctor,Aviana,SIMONS,10.16292789,20.86844025
VEN,3.25,54,5,54,Doctor,Maurice,CLEMONS,-1.9527992,17.08527829
ECU,3,47,5,47,Education,Armani,BEATTY,-18.81736882,13.6046688
PER,3.25,89,2,89,Lawyer,Dulce,HARDEN,-29.782324,6.228841471
BRA,3.75,39,6,39,Education,Samson,HERBERT,-28.52534191,-3.985544481
BOL,3,63,0,63,Doctor,Alaia,BLAND,-0.020144652,27.58030453
PAR,3,23,18,23,Education,Cayson,RUCKER,1.581614489,0.692997327
CHL,3,68,0,68,Career,Teresa,MANLEY,16.5687301,9.618280904
ARG,4,51,7,51,Lawyer,Natasha,ZIEGLER,30.44368455,6.469533291
UKG,3.75,39,16,39,Education,Bryant,GRADY,14.82966413,13.50044904
NTH,4,0,5,0,Doctor,Conrad,LOTT,5.795805766,7.391645597
BEL,3.5,20,2,20,Lawyer,Milani,ROUSE,-14.66230088,35.86665366
FRN,4,17,2,17,Education,Amirah,GLEASON,-5.780865576,33.83925822
SWZ,3,66,22,66,Career,Breanna,MCCLELLAN,-15.77604206,-0.611175634
SPN,4,98,0,98,Doctor,Linda,ABRAMS,-1.552781552,-14.47782262
POR,2.5,27,4,27,Career,Tenley,VO,6.201556931,-4.717392005
HAN,2.5,29,4,29,Education,Dane,ALBRIGHT,3.943121186,-1.084259753
BAV,2.75,22,3,22,Education,Julien,MEIER,-22.78764034,-35.80084933
GMY,2.75,93,0,93,Doctor,Sincere,DUNBAR,-44.28765827,5.569718309
BAD,2.75,4,1,4,Lawyer,Sutton,ACKERMAN,-18.64655371,7.216171877
SAX,3.25,90,5,90,Education,Noe,PADGETT,20.60649365,-20.88789641
WRT,3.25,86,3,86,Doctor,Elaine,MAYES,-33.09154939,39.27321249
HSE,2.5,72,4,72,Doctor,Elliott,TIPTON,-38.01127487,-40.91459121
HSG,3.25,85,1,85,Career,Salvador,COFFMAN,-20.10749831,-31.82273095
MEC,3.5,12,7,12,Education,Aliza,PERALTA,11.46477416,-12.11105156
AUH,2.5,55,2,55,Career,Nelson,SHAPIRO,-3.525747787,-11.27538036
ITA,2.75,8,7,8,Career,Kenna,ROE,-45.27553747,43.25754932
PAP,3.75,8,1,8,Education,Meadow,WESTON,-6.238254188,18.19566379
SIC,3.75,5,3,5,Lawyer,Alyson,PLUMMER,-20.9265459,22.40198919
MOD,3.5,23,5,23,Lawyer,Edison,HELTON,9.059928895,2.549663275
PMA,3,45,5,45,Doctor,Ramon,STERN,-8.017480521,26.20340643
TUS,2.75,82,6,82,Lawyer,Rory,FRASER,7.275091413,0.718769827
GRC,3.5,88,1,88,Lawyer,Lucian,STOVER,-20.93171758,-0.709448166
RUS,3.75,60,3,60,Career,Mekhi,FISH,11.15156859,15.82801846
SWD,3.25,16,5,16,Career,Niko,SCHUMACHER,2.682279042,-0.791785956
DEN,3.25,90,6,90,Career,Milana,BACA,-18.05730463,1.748554194
MOR,3.5,39,5,39,Career,Ayaan,CURRAN,35.36229586,-2.198448229
TUN,2,69,3,69,Career,Erica,VINSON,-8.369391154,2.536432162
IRN,3,87,0,87,Education,Esme,VERA,2.3581874,11.78838522
TUR,3,70,6,70,Education,Leona,CLIFTON,5.627627182,10.25502242
EGY,2,22,25,22,Lawyer,Vihaan,ERVIN,3.440247101,37.39495762
USA,3.5,56,0,56,Doctor,Joselyn,ELDRIDGE,37.25517801,18.36909689
MEX,4,41,5,41,Doctor,Neil,LOWRY,38.94183111,23.47553612
COL,3,47,3,47,Education,Madalynn,CHILDRESS,-0.318392103,-9.666386436
VEN,3.5,51,4,51,Career,Titan,BECERRA,-45.30501081,6.029291785
ECU,3.5,0,6,0,Doctor,Alma,GORE,11.80363872,31.1731613
PER,3.5,0,6,0,Lawyer,Chanel,SEYMOUR,-0.721141951,-20.77433137
BRA,3.75,42,6,42,Career,Myah,CHU,19.27928311,3.442373946
BOL,3.5,48,10,48,Doctor,Karter,FIELD,3.148314584,-1.051936711
PAR,3.5,56,14,56,Lawyer,Zahra,AKERS,47.03580833,49.59877271
CHL,4,28,0,28,Career,Ernesto,CARRASCO,0.22852613,45.94799041
ARG,3,30,1,30,Education,Audrina,BINGHAM,23.15869716,18.94900765
UKG,3,73,7,73,Lawyer,Ariya,STERLING,-7.209005739,-5.589835391
NTH,3.25,92,26,92,Lawyer,Jemma,GREENWOOD,-20.38361482,4.596504785
BEL,3.5,54,5,54,Career,Eileen,LESLIE,-23.08568658,6.135394141
FRN,4,13,0,13,Education,Brentley,GROVES,25.350109,3.270635113
SWZ,3,33,6,33,Career,Kallie,MANUEL,-0.675822585,38.74741652
SPN,3,5,6,5,Doctor,Milan,SWAIN,-7.394954516,-1.316753607
POR,3.5,33,0,33,Lawyer,Emmalynn,EDMONDS,-26.89914298,11.58628654
HAN,3.5,73,3,73,Lawyer,Lionel,MUNIZ,37.69610907,2.537171172
BAV,3.5,63,6,63,Lawyer,Zayn,THOMSON,7.239286676,-26.70865416
GMY,3.5,74,6,74,Doctor,Lailah,CROUCH,5.471509372,-18.75184681
BAD,2.75,53,5,53,Education,Sloan,WALDEN,4.130879998,-23.64973419
